Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W
1732031400.8435788,1,4.2512884125316955e-06,-3.325338434875113e-05,-6.686262502948437e-05,0.00023244378530818912,0.00032637313310297637,1.2976300205490391e-05,0.999999919641037,1,5.994518290318123e-07,-3.0992711385688875e-06,1.0690372150353057e-06,-0.00014425313550032605,0.00017051056318029135,-2.4734263725689947e-06,0.9999999750555311
1732031400.860454,1,6.460443077958171e-06,-3.812832598752276e-05,-8.607974235118131e-05,0.0003399568860555441,0.0007425079230543482,-5.4848949534434865e-06,0.9999996665405523,1,1.8131658038999744e-06,-9.308055500762431e-07,3.4387877664202865e-05,-0.00047829242809566233,0.00013361940786137412,3.986641317971025e-05,0.9999998758964304
1732031400.8768706,1,8.457400271058446e-06,-4.045146786066525e-05,-9.618929948957096e-05,8.298382633103633e-05,0.0006543029531240164,-7.58007439587587e-06,0.9999997824719127,1,3.994468232531753e-06,1.80637905031644e-07,2.893211714654249e-05,-0.00018815383609266213,0.0002366867280303352,1.926813876153019e-05,0.9999999541031317
1732031400.8939266,1,9.30353559197492e-06,-4.5676279025040975e-05,-0.00011720952318822717,0.00040832137274603966,0.0009068133030552075,-2.8730369194831087e-05,0.9999995050688055,1,-1.545585077490264e-06,-8.757955466424441e-07,-6.1056660987937955e-06,-0.00019417254042102328,0.00010286997859736545,3.4897596170990783e-05,0.9999999752484745
1732031400.9101083,1,5.950635910663355e-06,-4.557493752457067e-05,-0.00010697228051530055,0.0004160428929937919,0.0006719936426233772,3.440792499384067e-05,0.9999996870744261,1,-5.946694243240273e-06,2.778467481278157e-06,6.992596258215472e-06,-0.0004985590528868841,0.00011613927242183525,-1.296741711961461e-05,0.9999998688911845
1732031400.9292543,1,4.075755522199724e-06,-4.411901077396053e-05,-9.685085196305814e-05,0.00046123887627895103,0.0008432212420113098,8.344308125752798e-07,0.9999995381178631,1,1.5989983877930653e-06,-4.3693090963109995e-07,3.6697236774457074e-05,-0.0002723828547480418,3.911960676496765e-05,6.389099757427077e-06,0.9999999621182073
1732031400.9434397,1,3.5896897488873634e-06,-3.7901381271397546e-05,-6.504687817986134e-05,0.00014227846049611137,0.000429571139652184,4.078948748336083e-05,0.9999998967808413,1,5.930235607058491e-06,-1.3922929681507165e-06,8.349103813403623e-05,-0.00016031077949689839,0.00033473177694031927,-7.3369569753952295e-06,0.9999999311006279
1732031400.9600697,1,5.046247782530042e-06,-3.469156299718888e-05,-5.7960770740430876e-05,0.00011416174752602687,0.0007392488845050167,-7.854567431915843e-06,0.9999997202082049,1,-1.0717754908675153e-05,-4.180786894807526e-08,-6.102927319760513e-05,-0.00033569141557906063,-0.00030032961131801916,-1.7846887452570074e-05,0.9999998983974382
1732031400.9777622,1,6.329010626062053e-06,-2.6079735801037763e-05,-1.3322537228433726e-05,-3.2417805131954906e-05,0.000389316809552399,-2.5559587278603746e-06,0.9999999236874845,1,6.892463111097192e-06,-3.1483726231684487e-06,5.840707270011095e-05,-0.0002781377532778105,0.000179498236574169,-4.770131253487894e-06,0.9999999451985081
1732031400.99344,1,7.231184976196606e-06,-3.55767411910766e-05,-5.819273733050699e-05,0.0003001157214885342,0.0004502660692242339,4.876065255271927e-05,0.9999998524066989,1,1.0745603269564514e-05,-8.109715380457092e-07,8.913950687237175e-05,-5.088625024752948e-06,0.0003328182652128082,4.109355336305527e-05,0.9999999437587125
1732031401.011173,1,7.442044126181313e-06,-3.9909411281145825e-05,-8.499557548317142e-05,0.0002448186091973297,0.0005956284936031414,2.4628746548381357e-05,0.999999792341964,1,-1.1462232846034302e-05,1.3501347111631084e-07,-8.143854639518465e-05,-0.00039165277350867235,-0.0002646703938936468,3.349582287008992e-05,0.9999998877178524
1732031401.0283248,1,7.829721194549808e-06,-4.947004900646301e-05,-0.00013499821546159984,0.00031368908611316003,0.0007752380188728642,2.8496473553604438e-05,0.9999996498964999,1,1.2258011280623156e-05,-1.6660297996572556e-07,0.0001347221001830581,-0.00011996338368350782,0.0004638254729783474,-1.2397929572874614e-05,0.9999998851604976
1732031401.0434515,1,1.618208329771335e-06,-3.2996116841093855e-05,-5.030204596579877e-05,0.00017102966292323403,0.0005563589209625278,2.7446662521900782e-05,0.9999998302301286,1,-1.422123087857724e-05,9.470242143234849e-07,-6.87606869365125e-05,-0.00011464239666251172,-0.0001820937608027162,1.0123939088013988e-06,0.9999999768489788
1732031401.0641744,1,-3.9388710635131753e-07,-2.2787239025976465e-05,3.884689980304337e-06,2.1599208498249225e-05,0.00033889519095988086,1.6924997750575136e-05,0.9999999421985325,1,-7.119528853656315e-06,-1.161201044698709e-06,-2.1361572725056187e-05,-0.0008064034269054471,-0.00016120793213395828,3.853864986201881e-05,0.9999996611200866
1732031401.0761807,1,3.4381559393503924e-06,-2.816896584453774e-05,-3.052607317247666e-05,2.918445104765368e-05,0.000659828549948869,2.1142761281603277e-06,0.9999997818850174,1,4.5760897605889406e-06,-2.3970418847254214e-06,6.93086503607635e-05,-0.0002720654153028387,0.00012371672225680756,-5.637283006139187e-06,0.9999999553214007
1732031401.0942361,1,1.2491334543268423e-06,-1.758576745688458e-05,4.2675374002444446e-05,1.772788272862772e-05,0.0005811506211102404,5.63558851852229e-06,0.9999998309589447,1,-7.372259776468305e-06,-1.7177766254297423e-06,-4.694833485467328e-05,-1.9565354780726304e-07,-0.0003169621992573613,-1.6235467059403725e-05,0.9999999496356665
1732031401.1119232,1,7.848700267193848e-06,-4.242994565999441e-05,-0.00010218974588954885,0.0002608275108697661,0.000801160213559917,-1.3084855321719892e-05,0.9999996449699912,1,-5.136342364100598e-07,-2.110921782219103e-06,-2.157399703594584e-06,-0.00029161420376891905,-4.695557836775547e-05,-1.6125932589707057e-05,0.9999999562481411
1732031401.1258187,1,7.334817231425622e-06,-3.1331715538885645e-05,-3.756690836413676e-05,9.298757723365073e-05,0.00039373710993199283,1.6657012835293287e-05,0.9999999180234679,1,2.3920567933491705e-06,-2.9417703252379093e-06,3.93966493533612e-05,1.9839901355025687e-06,-6.272038641684786e-05,-1.6174068224671573e-05,0.9999999979003082
