System Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740164221.6257198,1740164221.6102755,3,3,-0.02260772221438767,-2.07633801218559e-05,0.0034534312835129894,0.01351917527856825,0.01507192010335999,0.0007323434349698208,0.9997947453339003
1740164221.6362479,1740164221.627193,3,3,-0.022406134755380735,6.644061400817538e-05,0.0026747633112469897,0.017708443920817808,0.012794612415929354,0.0005375602955831122,0.9997611814508294
1740164221.6555908,1740164221.643638,3,3,-0.0220508465906877,0.00014678573745876964,0.00193453438221469,0.02197074416263416,0.009426893624624424,0.00011960148161548897,0.9997141620348368
1740164221.66823,1740164221.6599107,3,3,-0.021527148408222528,0.00022064927928145637,0.0012689613203360948,0.026104453445186027,0.005653505143481287,-0.0002314256462961045,0.9996432072655178
1740164221.684339,1740164221.6762776,3,3,-0.02086590235484622,0.0002911844085484214,0.000620635508123417,0.030002178514443825,0.0010129485632927847,-0.0006192153540081569,0.9995491282533044
1740164221.7011423,1740164221.6928563,3,3,-0.02006557795066663,0.00035755463433779903,2.195858311949649e-05,0.03369384489855206,-0.0037567821179114286,-0.0009644451550750209,0.9994246751254512
1740164221.7183967,1740164221.7098427,3,3,-0.019094059236017473,0.0003994019489162156,-0.00037323431356112597,0.03533289060401791,-0.007589239444186072,-0.0012029232713101307,0.99934605781072
1740164221.7342024,1740164221.726452,3,3,-0.017987691494604843,0.00042793934670117147,-0.0006273792564069586,0.03552187541470775,-0.01156948366048034,-0.001548204076227256,0.9993007287493542
1740164221.7514296,1740164221.7432199,3,3,-0.01688001938646703,0.0004878373353966483,-0.0011948017672206567,0.03854668396763151,-0.01430642989656287,-0.0016851709702634166,0.9991529609711994
1740164221.7683976,1740164221.75965,3,3,-0.015589241739061063,0.0005007399718672202,-0.0013615644083732853,0.03838663420366574,-0.017165384817053785,-0.0018292889432340552,0.9991138421524138
1740164221.7842083,1740164221.7762887,3,3,-0.014311419065367056,0.000544478741063131,-0.001819046303349475,0.03977802826946329,-0.019439497762582417,-0.001957299582560927,0.9990175090417968
1740164221.8037658,1740164221.793476,3,3,-0.012945098540002076,0.0005657733883175904,-0.0020910237376328047,0.040215880971600275,-0.020909174920504134,-0.0021031586013242737,0.9989700025755126
