Synchronized Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740164221.7804682,1740164221.76729,1,3,-0.010040159869597129,-0.030305407390320258,-0.03917353605706701,-0.021474040963457886,-0.11187335775658654,0.04212201452892546,0.9925970749911525
1740164221.7952719,1740164221.7838778,1,3,-0.008803072849680028,-0.029115473585173305,-0.037552821149539665,-0.02095505652524312,-0.10249755041786147,0.039023017370066033,0.9937466185500694
1740164221.8112748,1740164221.8007305,1,3,-0.007495822691225176,-0.028131071997455518,-0.03619366352570906,-0.020523469507245058,-0.09200527034242582,0.03542125643009515,0.9949166558167151
1740164221.8278704,1740164221.8172534,1,3,-0.006193567019695432,-0.026957427786088273,-0.03460824720233778,-0.02008576681708868,-0.08134659625670025,0.03160425286850591,0.9959821607084349
1740164221.8444202,1740164221.8338723,1,3,-0.004880226767441029,-0.02577447646993452,-0.03302121670813658,-0.019363111304308664,-0.07041882819557897,0.02786575094814633,0.9969401980461388
1740164221.862037,1740164221.8507497,1,3,-0.0035992242206879755,-0.024439555346379104,-0.03126176306541281,-0.018551602127033065,-0.05941049439999807,0.02384005596335486,0.9977764694285651
1740164221.8792384,1740164221.8673208,1,3,-0.0023562341677772908,-0.023057819861076165,-0.02945324096914432,-0.01771329587582821,-0.048529692211071875,0.019856953085927297,0.9984672300768099
1740164221.8943253,1740164221.884335,1,3,-0.0012327612770356197,-0.021141514870128268,-0.0269872120710094,-0.016626918243263056,-0.03780557214683073,0.016004301061737822,0.9990185917448723
1740164221.9113889,1740164221.9008238,1,3,-0.00013793164549926902,-0.0195215762835423,-0.02491266202511111,-0.015514121042871292,-0.02755227543778473,0.012234592665958128,0.9994250841902886
1740164221.9286919,1740164221.9175131,1,3,0.0008333562299345514,-0.01759215181145862,-0.022469230743880873,-0.014307642134151302,-0.017934850723344133,0.008622389780276213,0.9996995983297029
1740164221.9461699,1740164221.934557,1,3,0.0016975937133136105,-0.01558084327818978,-0.019922928098503375,-0.012979389545823807,-0.009466609454977222,0.005403674959939804,0.9998563492069108
1740164221.9622662,1740164221.9510102,1,3,0.002435466256169992,-0.013424892986172075,-0.017217017002871565,-0.01167379333521291,-0.0010517777070677054,0.002071367874049138,0.999929160364849
1740164221.9787607,1740164221.9674723,1,3,0.0030317599936705735,-0.011133334749669436,-0.014341120758928095,-0.010084586256055598,0.006070358508049482,-0.0006297913491926165,0.9999305252018684
1740164221.9945724,1740164221.984112,1,3,0.003535534882998069,-0.00905322521464196,-0.011742617525328071,-0.008623663320235198,0.012038854668937336,-0.0029002294777029955,0.9998861370567032
1740164222.0131202,1740164222.0009065,1,3,0.003887393024911165,-0.006841681538390819,-0.008985893095218928,-0.0074023795828042785,0.01715562463247876,-0.005094481264367161,0.999812450202851
1740164222.0293763,1740164222.0177855,1,3,0.004079639725609827,-0.004424924047061549,-0.005970434355288324,-0.0059012121835865,0.021542585922369132,-0.006903395432603627,0.9997266805572624
1740164222.0455549,1740164222.0341356,1,3,0.0041994173942006266,-0.002611618726441047,-0.0037106682054710077,-0.004706562834158402,0.025092858727458766,-0.008557415864870927,0.9996374179375679
1740164222.0620115,1740164222.050797,1,3,0.004196232141302321,-0.0009368621870688356,-0.0016234017457209596,-0.0035667051882727367,0.027419614168207946,-0.009756032055271582,0.999570039172595
1740164222.0779061,1740164222.0675952,1,3,0.0041266631385284795,0.00018375326588503522,-0.00022129955956499487,-0.0029703642868614383,0.0287018717489905,-0.010627297081494626,0.9995271082121031
1740164222.095602,1740164222.0840895,1,3,0.004080561531636998,7.104364739574014e-05,-0.00035899439557742906,-0.003027653466076088,0.029410491741109886,-0.011407843263652125,0.9994977325647655
1740164222.11195,1740164222.101255,1,3,0.004041076243702902,-0.0011338226371312415,-0.0018574134338901756,-0.003692967646970563,0.02902229938723347,-0.01182652099464689,0.9995019767511215
1740164222.1287231,1740164222.1176476,1,3,0.0038638319069276006,-0.0024000806179296516,-0.003435289657027609,-0.004461429252138062,0.027735869955925287,-0.011864701950402607,0.9995349148551261
1740164222.1454868,1740164222.1342602,1,3,0.0035915767107163876,-0.004005148224775755,-0.00543414093724481,-0.0056269159281059,0.02555038780974562,-0.011725745860443134,0.9995889267013345
1740164222.16241,1740164222.1510537,1,3,0.003227050718198666,-0.0059672862849990405,-0.007875351675225808,-0.006786982863972997,0.021833940583767263,-0.010949100111336808,0.9996786149102824
1740164222.1786335,1740164222.167615,1,3,0.002727131322276739,-0.007895781826980612,-0.010288865388402818,-0.007999821787509348,0.017614120007976228,-0.009974701868574212,0.9997630974137551
1740164222.195558,1740164222.1845253,1,3,0.002149783774981549,-0.010185364173869246,-0.013153782737603849,-0.009392202049586563,0.012279391581826697,-0.008510568953151682,0.9998442745243549
1740164222.2161434,1740164222.2009451,1,3,0.0014837402986184265,-0.01264217305179201,-0.016235343286975443,-0.010942827893906009,0.005950164307507205,-0.006751935149606319,0.9998996256795647
1740164222.233172,1740164222.217643,1,3,0.0006866806683079475,-0.014994134729849173,-0.01919630525368671,-0.01250286394826153,-0.0014107480912611884,-0.004626620876116342,0.999910137243434
1740164222.2497802,1740164222.234509,1,3,-0.0002084291462882153,-0.017330154758796706,-0.022148306479245258,-0.013884668784831846,-0.00951781470881666,-0.0020172731941443312,0.9998562685630192
1740164222.263084,1740164222.2510316,1,3,-0.0011336820862218122,-0.020043642925354592,-0.025583286906333436,-0.015379773989894081,-0.01844666779200804,0.0008563620037410961,0.9997111831141581
1740164222.27904,1740164222.2677789,1,3,-0.0021472475549137266,-0.022626565210860854,-0.02886425234636932,-0.016871957013610585,-0.028366690384619093,0.004093896271021286,0.9994468009636512
1740164222.2960072,1740164222.2844296,1,3,-0.0031736266863938924,-0.025542573168638064,-0.032582475282789354,-0.01868305779252756,-0.03879196142755935,0.00765923201773069,0.9990432739601535
1740164222.3127558,1740164222.3010557,1,3,-0.0043101180759986,-0.027878159656494664,-0.03559492495582993,-0.02001540195789596,-0.049122681985619525,0.011147311284499747,0.9985299611179076
1740164222.3305929,1740164222.3184817,1,3,-0.005453387029267566,-0.03030306207939534,-0.03873237932371214,-0.02133445373723925,-0.060329950625570436,0.015160186514254197,0.9978353105027417
1740164222.3455093,1740164222.3344364,1,3,-0.006616742332882973,-0.03261860059416947,-0.04173855895983956,-0.02266580682624827,-0.07124145113497975,0.018907373207907606,0.9970222806334241
1740164222.362574,1740164222.3511145,1,3,-0.00778967243075402,-0.034731843665178244,-0.044503928484062864,-0.023767545621391717,-0.08242007988646959,0.022984016032047576,0.9960490797213165
1740164222.3790648,1740164222.3678422,1,3,-0.008935461842476016,-0.03680379245765851,-0.0472326569337252,-0.02471920982403472,-0.0931692042210518,0.026883062015200965,0.9949802817278229
1740164222.3946338,1740164222.3844638,1,3,-0.010135436043811607,-0.03802321268843699,-0.04890306126989005,-0.0251351609289425,-0.1032325214245976,0.03063674219668355,0.9938675265008763
1740164222.7850034,1740164222.7683475,1,3,-0.01003592837519593,-0.02973314818524521,-0.03845463697662988,-0.02106494355683497,-0.11182189792693704,0.042393453885730785,0.9926000838024363
1740164222.799212,1740164222.7851856,1,3,-0.008717954010461862,-0.02916178744376217,-0.03760486337671642,-0.020842783240216864,-0.10232240271441806,0.039268358198329224,0.9937573649206116
1740164222.811998,1740164222.8016758,1,3,-0.007445167800284626,-0.027892041223198875,-0.03589060365317238,-0.020383673112111523,-0.09209925925013884,0.03579631410764434,0.994897409893272
