System Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740165893.0380137,1740165893.023831,2,3,-4.097163728650142e-05,8.082939971610672e-06,-0.00017209372567057843,-0.0012998606191505402,0.032911388734648814,0.0001400078634626455,0.999457418428482
1740165893.05445,1740165893.040709,2,3,-6.162768801222414e-05,1.1617266849729163e-05,-0.00013949585711459247,-0.001266647113338689,0.03297636186805844,0.00015076998758168603,0.9994553178764161
1740165893.0712643,1740165893.0572796,2,3,-9.065172015694903e-05,8.100878437819017e-06,-0.00011030743065164999,-0.000889372877903828,0.032800156584598436,0.00011590366725661473,0.9994615276789046
1740165893.088286,1740165893.0740948,2,3,-2.7857380719362277e-05,1.1070571621431825e-05,-0.00018722943063953837,-0.0013485731831489303,0.032923269177999315,0.0001428756779052497,0.9994569621967437
1740165893.1040206,1740165893.0903528,2,3,-6.632093546203374e-05,1.1062449489813297e-05,-0.00013405550721467188,-0.0013286962074964732,0.032989952126613376,9.178576305201242e-05,0.9994547959765092
1740165893.1211753,1740165893.1071413,2,3,-4.013028383934963e-05,9.367938681282343e-06,-0.00017153342363017296,-0.0013262683856491225,0.03294811169309302,0.0001359967505979789,0.9994561743532893
1740165893.1379478,1740165893.1239488,2,3,-9.11731306445565e-05,1.0193644115634221e-05,-0.00010864937189829754,-0.000952203382769042,0.032821295761678894,7.811242194619967e-05,0.9994607794964703
1740165893.1550713,1740165893.14122,2,3,-0.00033411185771730213,8.57116339768793e-06,-0.0003211930896421308,0.004726799154251181,-0.6239161822965144,0.00047350016118189304,0.781476826678754
1740165893.171293,1740165893.1573818,2,3,-5.745598668582799e-05,1.039486776428233e-05,-0.0001486009848337898,-0.0012902262211580064,0.03295249289424423,8.860775026018383e-05,0.9994560824153403
1740165893.1882415,1740165893.1740568,2,3,-0.0003097543520850165,9.164113467330931e-06,-0.00034729090962260607,0.005003253744817998,-0.6240499114658855,0.0007287662274935339,0.7813681234547332
1740165893.2045276,1740165893.1905432,2,3,-0.00035768542698558697,7.846910509323835e-06,-0.00028370249070037735,0.005065515149941885,-0.6240644395244167,0.0007190952475776618,0.7813561280103755
1740165893.2207322,1740165893.2072418,2,3,-0.00012128240921086926,1.1104681471003018e-05,-6.363127092060827e-05,-0.0012956302337298277,0.03298404055126657,0.0001284172794212857,0.9994550304642086
1740165893.237975,1740165893.2238905,2,3,-0.0003540191692730438,9.560522729452202e-06,-0.00029612763151463516,0.0046562715408002,-0.6238786350881905,0.0004480923317851504,0.7815072405480944
1740165893.2554638,1740165893.2412422,2,3,-0.00018173747149357203,9.019206494845618e-06,9.98726255896493e-06,-0.0009627622356928871,0.0328232523472268,0.00010323977472988977,0.9994607028471788
1740165893.2716954,1740165893.257567,2,3,-0.00035311419600538425,8.077979044280193e-06,-0.0002981200156179175,0.0047560395509563804,-0.623887240378128,0.0004825270895431661,0.7814997495513109
1740165893.2883422,1740165893.2742624,2,3,-0.00041401401231791355,8.116282801041872e-06,-0.00021645499792558829,0.004732353992715201,-0.6239219906377321,0.0005169048821041924,0.7814721282513409
1740165893.3123996,1740165893.2912457,2,3,-0.0001760861168888785,9.431074983454513e-06,2.098423922510462e-06,-0.0008976600840270409,0.03281458274416242,0.00011590181987879375,0.999461046730921
1740165893.3213036,1740165893.3075404,2,3,-0.00020890211949904826,9.343844723840515e-06,4.5714816994509754e-05,-0.0009083776697525798,0.032818326380892236,8.781099615745642e-05,0.9994609169911524
1740165893.3386033,1740165893.3241959,2,3,-0.0001823149027408977,9.883043361860633e-06,1.173837872687849e-05,-0.0008716228848595938,0.032766563974716514,0.00010656379303537426,0.999462646226959
1740165893.3549001,1740165893.3406305,2,3,-0.00023044460185721774,8.34288247434904e-06,8.130597638188873e-05,-0.0013458842617382492,0.03300665186177956,0.00010646277216271185,0.9994542201592364
1740165893.3711348,1740165893.3572943,2,3,-0.0001904343221797852,1.0131529809293905e-05,2.9202034688817126e-05,-0.0013047726745941022,0.032997189649384764,0.0001147235798587716,0.9994545862029001
1740165893.3881671,1740165893.3741689,2,3,-0.00024077296245662036,9.445682715257832e-06,9.526263580242782e-05,-0.0014270890253700627,0.03300481497333928,5.8634250738707894e-05,0.9994541721197195
1740165893.4046683,1740165893.3907409,2,3,-0.00023234999596418305,8.200083813475057e-06,8.51149764765005e-05,-0.0012348761913098091,0.03302967444889932,0.0001478590426652234,0.999453597634375
1740165893.4258144,1740165893.4078393,2,3,-0.00023524912810198278,8.89532359734173e-06,8.723949302324646e-05,-0.0013575146664478192,0.033010542257317504,8.183990124000885e-05,0.9994540782627477
1740165893.4381044,1740165893.4240322,2,3,-0.00022334348623801757,8.096875920001478e-06,7.34081893449749e-05,-0.0012690995651612816,0.03298223824167548,8.684598632901592e-05,0.9994551284598213
1740165893.454465,1740165893.440752,2,3,-0.00020846613889100962,7.805537584738132e-06,4.467470288436543e-05,-0.0010582953518890373,0.03281483466321867,2.607299069161541e-05,0.9994608876575275
1740165893.4779189,1740165893.4578583,2,3,-0.00023776342467652216,6.6691134769049975e-06,8.594922124001397e-05,-0.000992287585440744,0.03283912549336936,7.762709806514622e-05,0.9994601548717249
1740165893.4885757,1740165893.4746509,2,3,-0.0002522128172006832,5.983141056169519e-06,0.00011246536591472585,-0.0013096370518509593,0.03303016363507081,0.00012972945949855642,0.9994534888184143
1740165893.5051746,1740165893.4909203,2,3,-0.0002609984312505619,6.787735244933455e-06,0.0001266415533468316,-0.0013417386528548072,0.033053581851721754,0.0001354578887737159,0.9994526712732922
1740165893.521512,1740165893.5076962,2,3,-0.00023367880713435793,6.356065682706878e-06,9.415944784144301e-05,-0.0013861145977312993,0.033000462452480485,0.00013184449036508252,0.9994543665326971
1740165893.5390582,1740165893.5241868,2,3,-0.00024706563908552,6.0594833326247786e-06,0.0001249499665629873,-0.001305542666061435,0.03290666039354454,0.000155808195850699,0.9994575643737442
1740165893.555391,1740165893.5413902,2,3,-0.00022275326918472037,4.625358807171058e-06,0.00013140341829176753,-0.0012316202025856187,0.03247705451296971,0.00013999783715766241,0.9994717126774744
1740165893.5721,1740165893.5577881,2,3,-0.00019920115970397428,3.632325930224905e-06,0.00016707569296487297,-0.001167592648324776,0.03252233004961329,0.00017239023483271276,0.9994703122440198
1740165893.5888612,1740165893.574241,2,3,-0.00017423660213628723,2.0047919108309795e-06,0.00018822276633900648,-0.0006754026049299271,0.03284223709014961,0.00019922935891645996,0.9994603001629921
1740165893.605906,1740165893.5916197,2,3,-0.00015082461657166127,7.396764155681672e-07,0.000295761065816389,-0.0007413658456650161,0.03272407427986399,0.0001834671925621235,0.999464132262383
1740165893.625209,1740165893.6078606,2,3,-4.1613157155441156e-05,3.467681087402917e-09,0.0002935135655901718,-0.001296321939097808,0.032446741047494974,0.00019991730396032382,0.9994726052163204
1740165893.6392276,1740165893.6246083,2,3,-6.540867223776181e-06,-5.439769821406445e-06,-0.00010990845807491496,0.004592584164553766,-0.6240597799607058,0.0009859591212636866,0.7813624812407479
1740165893.6553786,1740165893.6415837,2,3,0.00018343555133777526,4.911671632176478e-07,0.00036764960581857917,-0.0015864330513411858,0.03246827280366712,0.0002739952382941725,0.999471470037004
1740165893.6717644,1740165893.6578207,2,3,0.000284564238059642,5.082917509172294e-07,0.00045038990452395155,-0.0013515463734105387,0.032661100065677594,0.00022263150325521012,0.9994655453291594
1740165893.688193,1740165893.674441,2,3,0.0003238933291179152,-1.282575971286023e-06,0.0006114361062761708,-0.0014354100325301325,0.03267011473601272,0.0003221981176898354,0.99946510663932
1740165893.705124,1740165893.6911783,2,3,0.0005127996818543871,-2.1871210851204425e-06,0.0005967046725544266,-0.002219339380191412,0.03264939179916663,0.0002955775127857436,0.9994643587351147
1740165893.7234187,1740165893.7081673,2,3,0.000631334490685131,-3.223640577817348e-06,0.000666832533289527,-0.0014793354890923023,0.032543237397957184,0.0002300496189242211,0.9994692073012273
1740165893.7385528,1740165893.7244513,2,3,0.000730983979816741,-5.074689797527448e-06,0.0007498441025515816,-0.0010451745601519566,0.032633520191512715,0.00028298489120563665,0.9994667982927697
1740165893.7552779,1740165893.7410219,2,3,0.0008727631306483008,-5.842554489018352e-06,0.0007956162441482775,-0.002156355216822266,0.03236128527864451,0.00019433507126344698,0.9994738913954546
1740165893.7730892,1740165893.758389,2,3,0.0010162198844014126,-7.300863771021815e-06,0.0008461858386231423,-0.001696296944161568,0.03238546269747012,0.00013349097799764128,0.999474004945955
1740165893.7891445,1740165893.774451,2,3,0.0011079660147827017,-9.272618549164517e-06,0.0009609067624642325,-0.0016317713608709132,0.032411777047809086,0.00022431575835324264,0.9994732431202294
1740165893.8066244,1740165893.7914746,2,3,0.0012802375491530208,-9.045771198517312e-06,0.0009903713723769534,-0.0017581233987963298,0.03234388467201663,0.00014571700938520243,0.9994752427614157
1740165893.8223312,1740165893.8080695,2,3,0.0014008807553957498,-1.1039191100990523e-05,0.001072569078700399,-0.0020466153103876413,0.032052828690224654,0.00011419295731338581,0.999484074159611
1740165893.8394828,1740165893.8249838,2,3,0.0014505867042099818,-1.8479323410394792e-05,0.0007181177285736566,0.004971058391338769,-0.6251348729629661,0.0009927600218947313,0.7805002841841796
