Cam3 System Time (s),ROS Header Time (s),Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1741250509.638127,1741250509.6285748,3,-0.0031542465933818817,4.7498720666639034e-05,0.0009186628038505389,-0.014419535861251533,-0.007698565689997357,0.00034213327112712775,0.9998663370754551
1741250509.6591856,1741250509.6451166,3,-0.003159191331420575,6.134078911449032e-05,0.0007776524178297728,-0.01374975264075367,-0.007227224727587089,0.000146818118831073,0.9998793377050528
1741250509.6740196,1741250509.664792,3,-0.003147749594102883,4.8674640109520905e-05,0.0008855262037376769,-0.013623531436436492,-0.0075620978431863465,0.00010762591605295594,0.9998785938723124
1741250509.6865609,1741250509.6786294,3,-0.003164831671118859,6.843556955358182e-05,0.0006918936898909789,-0.013886464591832322,-0.006780140866864807,0.00014658275594266597,0.9998805800216648
1741250509.7030907,1741250509.6952503,3,-0.0031526079865974548,4.6890929326975895e-05,0.000916447930040235,-0.013476555846079114,-0.00860679789650144,0.0003491098251291974,0.9998720836161125
1741250509.7202966,1741250509.7116978,3,-0.003147896698579923,3.5702354061544573e-05,0.001043884367747377,-0.013318548522725336,-0.008790416288654289,0.0003221244200393561,0.9998726124274923
1741250509.7379434,1741250509.7291398,3,-0.003165400202345962,5.990423985549961e-05,0.0007940052707612464,-0.01410472995602003,-0.007848565135211628,0.00034606256335573024,0.999869659935178
1741250509.7549899,1741250509.7452137,3,-0.0031394988535118247,3.688288337038344e-05,0.0010242759677946012,-0.014570296117452117,-0.0077093756767463145,0.00021219540162854025,0.9998641042515909
1741250509.7707853,1741250509.7619112,3,-0.0032014205474811285,0.0001270477078106844,0.0001293988722082461,-0.013585228477737635,-0.00499149232466058,0.00013505076666161327,0.9998952486800159
1741250509.7880266,1741250509.7785397,3,-0.0030633783048990755,-3.585868028546885e-05,0.0017105609997755133,-0.014798181528069146,-0.009700137466136427,8.551005616643419e-05,0.9998434446675293
1741250509.8028157,1741250509.7950077,3,-0.0030558925528660235,-5.052139396492816e-05,0.0018016144588649096,-0.01598444187801511,-0.01020638150716301,0.00015147819343559271,0.9998201360488472
1741250509.821635,1741250509.8119812,3,-0.0031365447250714957,4.9589476976840785e-05,0.0008334210191608482,-0.015437019077323727,-0.007061819340059348,8.82638419591201e-05,0.9998559002971922
1741250509.836363,1741250509.8284934,3,-0.0031447794614898107,5.160897765032224e-05,0.0008216556792744347,-0.01436088113057922,-0.008488046329821012,0.00019090374089303486,0.9998608311752281
1741250509.8552184,1741250509.8472314,3,-0.0030928489869861925,-1.4980143808885003e-05,0.0014811558023681197,-0.015257779361491171,-0.009071814345033303,0.00017829256467028745,0.999842422867327
1741250509.871683,1741250509.8619778,3,-0.0031210595139936226,1.6872814289918436e-05,0.00122133240709709,-0.013061686448774888,-0.008267375775738706,0.00012826276205417093,0.999880506057379
1741250509.8858776,1741250509.878654,3,-0.0031385201846690102,3.658047863043271e-05,0.0010078157840383035,-0.014235091095258797,-0.007750558826683362,0.00034311119372839254,0.9998685780111767
1741250509.9090192,1741250509.8955102,3,-0.00313311625893533,3.305944734610724e-05,0.0010599613337675645,-0.014376794884224796,-0.008625437195849212,0.0003832974834938217,0.9998593714543443
1741250509.9246595,1741250509.91211,3,-0.0030973430383614683,-9.587472268404249e-06,0.0014484523760036133,-0.015157779567112117,-0.00950761190358948,0.00017960952632149613,0.9998398945705774
1741250509.9375894,1741250509.9287684,3,-0.003094090146901616,-1.4155240186296175e-05,0.0014835044789283994,-0.015437694002576798,-0.010007773514761552,0.00012796858497464327,0.999830738523877
1741250509.9544003,1741250509.9456213,3,-0.003157264413761887,6.00988597383844e-05,0.0007673409545360528,-0.013943511893235935,-0.00741974931445238,0.000182534482223697,0.9998752384559569
1741250509.9741578,1741250509.9624279,3,-0.0031875375003982444,9.5587679349533e-05,0.0004368165933647829,-0.01362318546243164,-0.006136016387343305,0.00042590725123177334,0.9998882821214397
1741250509.9897974,1741250509.9786985,3,-0.0031881708376627366,9.387579068831841e-05,0.00047453365964283137,-0.013635043310511305,-0.007639133946009697,0.000287773971727432,0.9998778157418119
1741250510.0056868,1741250509.9953544,3,-0.0031614996638169696,6.41390855659528e-05,0.0007644267464326897,-0.013626435439117224,-0.007963435596454831,0.00020737392049720898,0.9998754227136408
1741250510.0256238,1741250510.0123231,3,-0.0031519704187135122,5.537976595882092e-05,0.0008442328427508733,-0.014108047255099409,-0.0078162485049522,0.0002064411459160149,0.9998699048596323
1741250510.0394993,1741250510.0289922,3,-0.0031310375637823014,3.900982602999731e-05,0.000990411632650456,-0.014365074721375255,-0.008073744169546312,0.00021136396730247258,0.9998641980832235
1741250510.0553582,1741250510.045325,3,-0.003140355309254469,5.8578293118540515e-05,0.0007918417655133224,-0.014199575933768348,-0.007979935794094603,0.00019078705016050188,0.9998673193320825
1741250510.0712595,1741250510.0622084,3,-0.003090491237421632,-6.45132675696408e-06,0.0013795255101866622,-0.01563345991697287,-0.00888580336542881,0.00017465169319698056,0.9998382903881815
1741250510.0867038,1741250510.0789165,3,-0.003109663693429523,2.35378509895292e-05,0.0011315552743826043,-0.014365799135542113,-0.00827895154256439,0.0002457761139724603,0.9998625017324406
1741250510.1066608,1741250510.0956128,3,-0.0031773228800073858,0.00010217759502719392,0.0003547881198676287,-0.014235821363416373,-0.006972116456801185,0.0002475569062880555,0.9998743269520424
1741250510.1203146,1741250510.1120834,3,-0.003115446805884167,1.552733865737985e-05,0.0011906773774796656,-0.015031310083424806,-0.00927731812566038,0.00028382836694575375,0.9998439430866345
1741250510.1369038,1741250510.1291401,3,-0.0030848861077071737,-2.8556106973231707e-05,0.0016068906964809284,-0.014519023202435198,-0.010026089439529711,0.0002620575884355342,0.9998442912882075
1741250510.1537843,1741250510.1457841,3,-0.003139076114010487,4.535730720995475e-05,0.0009641129575437146,-0.01249536506664487,-0.007374642490044869,0.00010500343401246423,0.999894729196166
1741250510.1703978,1741250510.1622047,3,-0.003152813902090757,6.277750662788195e-05,0.0007351756178254975,-0.013809607592458568,-0.006907249748513871,0.0002191242345076136,0.9998807612028665
1741250510.1869602,1741250510.1789815,3,-0.0031513252841108923,6.86473357609855e-05,0.0007502661032772422,-0.012315928899324757,-0.007031716522220137,2.1118671822105444e-05,0.9998994311490029
1741250510.2052372,1741250510.1958973,3,-0.0031193694199003886,2.2678565753713736e-05,0.0011267871640889715,-0.014407873793572579,-0.008017948208707422,0.0002132089826413393,0.9998640308667978
1741250510.2215497,1741250510.2124634,3,-0.0031121688649858826,8.423064127338826e-06,0.0012623604292279907,-0.014621854199386167,-0.008727726551362353,0.0002705856176294851,0.9998549669589286
1741250510.2385085,1741250510.229563,3,-0.003158819916846919,6.366801590252959e-05,0.0007545152552834084,-0.013936554358978942,-0.007900362761557101,0.00018948185647750732,0.999871652172148
1741250510.255705,1741250510.245878,3,-0.0031687782343411564,7.488625467925148e-05,0.000727371216522576,-0.011958012616018959,-0.008117213227052889,0.00010653169668520826,0.9998955472621623
1741250510.270122,1741250510.2624748,3,-0.003115482169542876,-1.2674423641753982e-05,0.0014619172450092653,-0.0154116730177636,-0.009690560144452565,0.00029460545651087286,0.9998342295533322
1741250510.2866302,1741250510.2792401,3,-0.0031500074256257536,3.8209942146624307e-05,0.001015375163321798,-0.014336497178105907,-0.008949458963632318,0.00033285796335303335,0.99985712041196
1741250510.3042684,1741250510.2955143,3,-0.003204298182466596,0.0001130813707009794,0.00030129953001601186,-0.012725467074272486,-0.005989592283605178,0.00030705671775839595,0.9999010415977123
