Time (s),Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1741341842.1903763,2,0.004469015859401851,-0.00033484041431064415,-0.003899161777295129,-0.004165674388462127,-0.005526534019156954,0.0003470152503806248,0.9999759917913232
1741341842.2071953,2,0.004007281155456574,-0.00031300810277392016,-0.0035885128758018662,-0.0042781061463422225,-0.005626931337996843,0.0003181016642316882,0.9999749668180946
1741341842.2239635,2,0.0036032237258949093,-0.0002877541925331635,-0.0031910857213434825,-0.0043199255595193,-0.005501055197609484,0.00026831731560679283,0.9999755020202701
1741341842.2404554,2,0.003113170924644999,-0.00026755277912925103,-0.002894129109302923,-0.004192217982252118,-0.005065245337250251,0.0002752708592483429,0.9999783461775643
1741341842.2570214,2,0.002740194313952772,-0.00024030686669768413,-0.0025031197796669385,-0.0039025797370814607,-0.004495883548638523,0.0002880516270723418,0.9999822368066209
1741341842.2743053,2,0.002397576729651818,-0.00020758629259321206,-0.002106691563603591,-0.004082742467941282,-0.004312697506847769,0.0002058177415804378,0.9999823445907494
1741341842.2906091,2,0.0018919003459825813,-0.00019433257731626925,-0.0018987453225475237,-0.004011402850378781,-0.004058609177777915,0.0002644938884899164,0.9999836830577272
1741341842.3075469,2,0.0014586749239501068,-0.00017094491742058706,-0.0015689510549418068,-0.004352883706890305,-0.004278390541855359,0.00026921369172609294,0.9999813374767521
1741341842.3242862,2,0.0009380899068622655,-0.0001503910856570245,-0.0012896194023758812,-0.00454997873616005,-0.004260670803727717,0.000224207680125694,0.9999805468651473
1741341842.3407135,2,0.0006787971465781044,-0.00010316673285545885,-0.0006749276755561168,-0.00442065177702317,-0.0042116356509961685,0.0001253532510343642,0.9999813519509112
1741341842.3575525,2,0.00019024042661954307,-8.381678341882134e-05,-0.00032487402706531733,-0.004414831000153111,-0.003702693547509652,8.702875413313625e-05,0.999983395739014
1741341842.3738623,2,-0.00031971223451710055,-6.364669277191703e-05,-3.7286768828675456e-05,-0.004188083698610367,-0.003290613777998518,0.00021435528081333415,0.9999857928329338
1741341842.3906426,2,-0.0007234830845086051,-3.411516356486243e-05,0.00033249619439346194,-0.004105438057545785,-0.0027552278159138003,0.0002931114963622763,0.9999877340166172
1741341842.407232,2,-0.001137861217296026,-1.184630195425684e-05,0.000657776695195412,-0.003949337195980693,-0.002456781065007038,-3.817916827238426e-05,0.9999891826939241
1741341842.4239428,2,-0.0016369140283227501,5.825326247251619e-06,0.0008834543893968333,-0.0041616605249605206,-0.0022834373760962988,0.000206694512583046,0.9999887118226899
1741341842.4410062,2,-0.0018864740618549035,4.663330229840793e-05,0.0014004310673693871,-0.004096154896124408,-0.0022545473094113247,7.549926342108984e-05,0.9999890663559066
1741341842.4574041,2,-0.002314385877793524,6.551165352539857e-05,0.0017230073507323931,-0.003838862643338522,-0.0020848296764305785,6.472684329206678e-05,0.9999904561690885
1741341842.473959,2,-0.002736234998235372,9.271627173875499e-05,0.0020495680797333877,-0.004064229906618081,-0.0017474631061457158,0.00013040067463553545,0.9999902056538468
1741341842.4907618,2,-0.002975747501019686,0.0001260150786561044,0.0025555866726541415,-0.0037995147883506646,-0.0014191112242914919,0.00011836020220959274,0.9999917678669004
1741341842.5074134,2,-0.0034319611426096817,0.00014138426142169542,0.002770383967145525,-0.003528356371488657,-0.000948084023477525,2.0377436508541953e-05,0.9999933256891069
1741341842.5242393,2,-0.003712753584537806,0.00016731276663534898,0.0031362768054155883,-0.003341300275925333,-0.0005387192832842654,3.0947471746442264e-05,0.9999942722517234
1741341842.5406382,2,-0.00404399868776085,0.000185588936287958,0.003396786328495412,-0.0030699052158123766,-7.62312194455539e-05,0.00012674270615344206,0.999995276892373
1741341842.5575747,2,-0.004314562366518895,0.00020725990539147756,0.0036856705820494003,-0.0031062347632343987,0.00025753968339555774,0.00011510006656523605,0.9999951358536109
1741341842.574206,2,-0.004465692102621479,0.0002336323328225955,0.00407001055812456,-0.0025693668898428964,0.0005114619092656026,-0.00012296167752530842,0.9999965608145494
1741341842.5908961,2,-0.004703355000789289,0.00025317175798319786,0.004328033854083187,-0.0026887416067860504,0.0007666545220835877,7.879357544529732e-05,0.9999960883428435
1741341842.607818,2,-0.0049587289610358316,0.0002698490379045742,0.004534380921441656,-0.002497343845513896,0.0009835894034580346,4.220280063567238e-05,0.9999963970157724
