Time (s),Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1741341606.8908072,2,0.012908645600875868,-0.0008394618602296502,-0.011364308204748682,-0.0053247612292608194,-0.010389410290781812,0.0010433315881287432,0.9999313069060586
1741341606.907502,2,0.012417788733729963,-0.0008085221358032043,-0.010888726919319407,-0.004844476010773236,-0.0105032733814079,0.0008787856177228606,0.999932717754697
1741341606.9248102,2,0.011809033032861023,-0.0007855023207183112,-0.010529589722807185,-0.005173320934770739,-0.01027590793016394,0.0008561896177694051,0.9999334524887419
1741341606.9411492,2,0.011294184605077483,-0.0007517966165259297,-0.01006056723728315,-0.005191710331957041,-0.009991844295118733,0.0009894679443399525,0.9999361130315267
1741341606.9581096,2,0.010758510199542236,-0.0007227889973282604,-0.009621683958228747,-0.005112330155637679,-0.00970902710107129,0.0009334009678311126,0.9999393619793971
1741341606.9747963,2,0.010257677707154265,-0.0006941972995864554,-0.009165136922211294,-0.0048800017745606866,-0.009378909550139482,0.0009642640781909206,0.9999436443285782
1741341606.9908,2,0.00982450035769164,-0.0006561584144311363,-0.00865016021903782,-0.0047587590202949155,-0.009079786967886326,0.0009161058467611875,0.9999470348129855
1741341607.007754,2,0.009409260393103382,-0.0006245693448592732,-0.008157556054738854,-0.004417316551264524,-0.008489708576407866,0.0009023437258940974,0.9999537979019699
1741341607.0241134,2,0.008912913317991796,-0.0006009890086392403,-0.007815318297216734,-0.004294904599000311,-0.007950997885427675,0.0009367030550961519,0.9999587281555665
1741341607.0407708,2,0.008494796802445194,-0.0005758262736452579,-0.007443715213991182,-0.0039031859939745012,-0.007408514641815806,0.0009114737378963778,0.9999645235034709
1741341607.0575044,2,0.008165902081068375,-0.0005491211819639713,-0.007025498922018899,-0.0037153022471319965,-0.006892142024465783,0.0008727523652020226,0.9999689661238673
1741341607.0743556,2,0.007846246324046947,-0.0005251934430750349,-0.006668334712519477,-0.0032294459327864094,-0.006407025185969663,0.0008739064207599198,0.9999738781562253
1741341607.0913968,2,0.007572288954224415,-0.0005061767231417404,-0.00633566136345889,-0.003082784940905687,-0.005955829006482473,0.0008859753415273876,0.999977119531016
1741341607.1080403,2,0.007324647681237624,-0.0004915848314578943,-0.0060746488227015295,-0.0021290244822548504,-0.0051544936536073,0.0008632467351228314,0.9999840765007226
1741341607.124274,2,0.007182238597853598,-0.00047524067213316633,-0.00579421323909382,-0.0017319961324772826,-0.004996925645024828,0.0008681224948294108,0.9999856385402888
1741341607.1409276,2,0.006993335862613219,-0.00046936134910440864,-0.005665731142522853,-0.0011997667046941374,-0.004358453343481379,0.0007851066440997381,0.9999894739705336
1741341607.1577156,2,0.006972842988349287,-0.0004534594057007509,-0.005444926895585608,-0.0004911489231110259,-0.003817458435345706,0.000718288947565622,0.9999923348930317
1741341607.1743488,2,0.006965655123171141,-0.0004447712572212807,-0.005327630205461361,5.9357449751086546e-05,-0.0036003142964319483,0.0006633946592213305,0.9999932970381282
1741341607.1909678,2,0.007061975091660384,-0.00043775210203104986,-0.005198579702707094,0.0004648368259911596,-0.0035922450522076917,0.000704696280427943,0.9999931915295036
1741341607.2082236,2,0.007238113849356597,-0.0004306838449608458,-0.005094312717899207,0.0008493173874888318,-0.0038036061370016042,0.0006950998519452522,0.9999921640075615
1741341607.224501,2,0.007310705266221301,-0.00044056674572594485,-0.0052185230581073385,0.0012807686961739519,-0.004050503765566184,0.0008641541287761434,0.999990603100066
1741341607.2412171,2,0.007507557072429464,-0.00044455711787345497,-0.0053085429057628895,0.0018082059197806976,-0.004438336444472903,0.0008055343461791806,0.9999881912679642
1741341607.2578485,2,0.00791263859161851,-0.0004387034724705086,-0.005255991826282196,0.0022076011238549454,-0.0050397697734787155,0.0008653525286508203,0.9999844890711603
1741341607.2744925,2,0.008114118688717623,-0.0004559256710609281,-0.005539226221305307,0.0026285445611842254,-0.005594840398923439,0.000898259977862182,0.9999804906313986
1741341607.2912111,2,0.008465933510015207,-0.0004685557214567526,-0.005742819594209875,0.0032628540040006092,-0.0061486086067432935,0.0009342325065688831,0.9999753374986672
1741341607.3077874,2,0.008915581900413194,-0.00047686789026809293,-0.005925519534139627,0.0035254021975240643,-0.0066768440159843305,0.000878033657112914,0.9999711097577914
1741341607.3247268,2,0.009358739851134966,-0.0004898730882123443,-0.006191417771660005,0.003868048706090068,-0.00727005417644632,0.0010916073870388726,0.9999654958571278
1741341607.341317,2,0.009808131725109302,-0.0005041352230145537,-0.006526106052268387,0.004282177985984955,-0.007816529957294305,0.00100809782644387,0.9999597734658607
1741341607.357935,2,0.010268176484286675,-0.0005241444782700668,-0.006907052068662157,0.004683834502846545,-0.008362683960946252,0.0008971104357194827,0.9999536601284008
1741341607.3745725,2,0.010794719005791115,-0.0005484912301048586,-0.007260144804113834,0.0048249870348973534,-0.008883862791947389,0.0010288726780342328,0.9999483676185582
1741341607.391161,2,0.011310553281230424,-0.0005779019256630646,-0.007660258910752238,0.00469126515992369,-0.009229565497728161,0.0011558496058144355,0.9999457341094122
1741341607.4081957,2,0.01172738597774186,-0.0006115525847807178,-0.008205777234994455,0.0048743977222780776,-0.009537455103613755,0.0011133474617623007,0.9999420171462048
1741341607.424566,2,0.012323219595283591,-0.0006323375277809864,-0.008567748435418573,0.005249127082562246,-0.009899437499900094,0.0010235257377825431,0.9999366980949947
