Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W
1732034419.2850437,1,-8.858977967521683e-06,-3.6900123883780425e-06,5.1733945728534345e-05,-8.614489004984369e-05,-0.00015039760704930815,-2.3579876587030233e-05,0.9999999847018035
1732034419.301049,1,-1.2054049143988517e-05,1.8689790733275824e-06,0.0001127015687893843,-0.00011071861964119414,-0.0004098771877157454,-1.0502136818487287e-05,0.9999999098158877
1732034419.3164213,1,-7.351041618290579e-06,-7.474730651892612e-06,3.498833073863091e-05,3.150325988004876e-05,0.00010485988241345885,-3.3319028398253025e-05,0.999999993450896
1732034419.3339355,1,-5.975513886642703e-06,-8.220839932400998e-06,3.005639172022449e-05,0.00011514555254815241,-0.00010564642777468842,-4.922114261892337e-05,0.9999999865788065
1732034419.3500173,1,-5.574008520555284e-06,-4.13817541817455e-06,5.711247056652003e-05,-5.624955990875291e-05,0.00010609277148553469,-5.093036957006188e-05,0.9999999914932041
1732034419.3665054,1,2.3885171753154746e-07,-9.89098628663583e-06,-1.6947249404568357e-05,8.002199624212703e-05,0.0003761740676024579,-6.355243640570545e-05,0.9999999240253165
1732034419.3835266,1,-8.535083626778391e-07,-3.6348688542849394e-06,2.0208212985130045e-05,-0.00011384052459724243,0.00018470830283292213,-3.0349894528976056e-05,0.9999999760010306
1732034419.4000018,1,-2.9984046921045404e-06,2.5334931711179386e-06,9.278171965905482e-05,0.0001992252812304908,-0.0004131767172477046,-7.090083163743784e-06,0.9999998947720036
1732034419.4173014,1,-3.261989916581011e-07,-7.82770219460439e-06,2.1085582257356908e-05,0.00028385626145152734,-0.0002335684129360233,-3.5835183310037314e-05,0.9999999317936271
1732034419.4332972,1,-3.4195559588504532e-06,-4.361787810861425e-06,7.549304098800682e-05,-0.000129797675649341,-0.00010672644677789006,-2.9475193820146247e-05,0.9999999854466208
1732034419.4507372,1,-2.0983678646274803e-06,-2.4355926118653352e-06,9.739935085527269e-05,-3.2164908505423214e-05,-0.000723422409137747,-2.462572022090626e-05,0.9999997375094708
1732034419.4668114,1,1.1565715946036532e-06,-4.673491531718698e-06,5.3439021501172195e-05,4.374787569861339e-05,-0.0005838659812678216,-1.0357555564757384e-05,0.9999998285396654
1732034419.483643,1,4.534296674689801e-06,-1.0950685801027858e-05,-2.614038161860816e-05,2.7562980138180624e-05,0.00013774988351955274,-1.6281358011941364e-05,0.9999999900000844
