Cam3 System Time (s),ROS Header Time (s),Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1741248295.0415373,1741248295.0314713,3,3.016817559804564e-05,-2.9761060565882006e-05,0.0001979532484699607,-0.0003545383103400955,-0.00022926845891231204,-3.768295952517424e-05,0.9999999101592734
1741248295.0592694,1741248295.0479715,3,-4.871135536972569e-06,9.775120938244217e-06,-7.105482035295626e-05,0.000380926498721931,0.0003551237859968268,3.206994928520643e-05,0.9999998638767994
1741248295.0731404,1741248295.0633574,3,1.658676514506034e-05,-1.7215024736398416e-05,8.081627763320961e-05,-0.0004861017509272738,-7.672630138341875e-06,2.24801167321893e-05,0.9999998815704245
1741248295.0916495,1741248295.080031,3,-7.563277373374625e-07,3.462894973547835e-06,-3.621831898670399e-05,0.00013218493961805562,9.530350305576778e-05,-1.6652714969437955e-05,0.9999999865835355
1741248295.107209,1741248295.0968142,3,-1.5164146001402522e-05,1.354273976561982e-05,-9.164807717340586e-05,0.00039000951636580013,-0.00017411061723822423,-0.00014861252438633785,0.9999998977461887
1741248295.1244426,1741248295.113426,3,-5.020615917705447e-05,5.328948912418391e-05,-0.00034256537908567325,0.0008472154932183431,-1.358262813141309e-05,-0.00010952781151905237,0.9999996350224728
1741248295.140841,1741248295.1300838,3,-3.109785823143904e-05,3.799136409677671e-05,-0.000239181524068707,0.0004316190432578469,0.00014204297002237012,4.252179267148922e-05,0.9999998958603412
1741248295.1576488,1741248295.1469793,3,-7.499571022266941e-06,1.5718822152147158e-05,-0.00010778538741174122,0.0002462167605806652,0.0003866676686352865,-6.886183119567917e-06,0.9999998949089952
1741248295.172923,1741248295.16322,3,5.816081867488759e-06,9.480829013187429e-07,-1.906890702707035e-05,-0.00015689782333759084,0.00037551303174143495,7.235198324435062e-06,0.9999999171603405
1741248295.1900172,1741248295.180005,3,-1.71758372339986e-06,1.2558552553647979e-05,-9.287707936216518e-05,0.0004605003520690545,0.0005834204587140335,3.5381498421090307e-06,0.9999997237736997
1741248295.2062798,1741248295.1968074,3,2.060253492504703e-05,-1.3049904634193105e-05,9.214396838124026e-05,-0.00032626960515519447,8.454631863373137e-05,2.4635464333289646e-05,0.9999999428965778
1741248295.223147,1741248295.2133443,3,7.2630465723547955e-06,-4.386640012516258e-06,2.8618494747837316e-05,-0.000191531290516285,0.00020978940690899255,5.764360717568166e-05,0.9999999579906911
1741248295.240432,1741248295.229968,3,3.4847787872738583e-06,-2.214137044058023e-06,1.3899013679325905e-06,2.8258223856283292e-05,0.00011698858012489831,3.611457446026648e-06,0.9999999927510511
1741248295.2567027,1741248295.2469816,3,1.3865456141459643e-05,-1.1829076674802134e-05,5.4762152004272676e-05,-0.0004026596475906204,0.0004970964994456552,3.791732014095699e-05,0.9999997946612565
1741248295.272942,1741248295.2635272,3,-1.3991617381364314e-05,2.2569741051445238e-05,-0.000154061794361382,8.753706673853089e-05,0.0005769772579791682,-9.869575905637937e-06,0.9999998296685342
1741248295.2899852,1741248295.2802987,3,3.903801243183139e-05,-3.685046292044984e-05,0.00024559015147702695,-0.00041624488485576946,-0.00017937499948143904,1.7399061306320664e-06,0.9999998972808838
1741248295.3076007,1741248295.297409,3,3.6009148962610476e-05,-2.9582439202878062e-05,0.0002044454689373191,-0.0008274200336118388,0.00020606807422753794,0.00015000852610080773,0.9999996252046692
1741248295.3225374,1741248295.3136935,3,1.5423039148403958e-05,-6.608008692334915e-06,3.615779778974643e-05,-0.00017088628670978106,0.000639902717176685,2.9420828335748307e-05,0.9999997802283781
1741248295.341717,1741248295.3304765,3,5.6432175744230276e-05,-6.654411066821719e-05,0.0004164750768633355,-0.0007877257415562754,-0.0007291774643254889,-1.8411297242232666e-05,0.9999994237245369
1741248295.3568172,1741248295.3470123,3,2.089875173042914e-06,-3.086004054209292e-06,2.0202265403900247e-06,7.350417944524387e-05,2.251530179727597e-05,-8.380305064943435e-05,0.9999999935336228
1741248295.3739967,1741248295.3640902,3,-1.3016458886178743e-05,1.442997092407566e-05,-0.0001031773581462481,0.00021911904667355203,-5.6206687332798516e-05,-7.692596036799925e-05,0.9999999714550238
1741248295.3941827,1741248295.3805008,3,2.287629816697917e-05,-2.3989378251854646e-05,0.00015987465608999893,-0.0003006388202122367,-0.00040420159647854774,5.884018129225101e-05,0.9999998713875928
1741248295.4057703,1741248295.39687,3,-4.2160431401996424e-06,1.4852856717757142e-05,-9.181331914151008e-05,0.00024184182701368127,0.00044782870361388693,3.516198064354819e-05,0.9999998698628005
1741248295.4261234,1741248295.41357,3,-7.6633178079008e-05,0.00010114853625041784,-0.0006605505598115201,0.0013493811341604245,0.001281291063558031,0.00021332104909901398,0.9999982459774093
1741248295.4445438,1741248295.430317,3,3.121455962614833e-05,-3.0056046714514677e-05,0.00017845417828360937,-0.00034144859006809584,-1.3080963298433036e-05,4.08493727059965e-06,0.9999999416125293
1741248295.4566407,1741248295.446995,3,9.220320490247423e-06,-1.1192522803006282e-05,6.402662686430386e-05,-7.961096717029671e-05,-0.00018109706370401788,-1.96040475672254e-05,0.9999999802408142
1741248295.4741538,1741248295.4635134,3,-3.629364632063707e-05,4.3330051424507997e-05,-0.00028736106125727906,0.00041803547138003963,0.0003279736812120973,-2.9015430099761147e-05,0.9999998584188469
1741248295.4913306,1741248295.4810522,3,9.460315756846775e-06,-6.802938324014274e-06,6.371962417648151e-05,-0.00034922980394672766,-0.00012590601590804632,5.7147590902156456e-05,0.9999999294601836
1741248295.5064054,1741248295.4968836,3,-2.2514490077549612e-05,3.226863176835118e-05,-0.00019858279408942192,0.000330836266981856,0.00028192550712276786,7.1634448588088264e-06,0.9999999055070246
1741248295.5241077,1741248295.5135424,3,-1.3837127690206988e-05,2.7597491171205413e-05,-0.0001921516892679299,0.0004458252630033631,0.0012563242222623327,8.319519990986302e-05,0.9999991079835232
1741248295.5410516,1741248295.5304725,3,1.7762483237235482e-05,-7.902301468706198e-06,4.893736799311265e-05,-0.00016577749264524335,0.0004059313305599961,-2.9543014627528154e-05,0.9999999034323893
1741248295.559091,1741248295.5490549,3,3.51822297780957e-05,-3.664376140256571e-05,0.00023769765184687009,-0.0005405782744213764,-0.000484764111783684,7.909426707857766e-05,0.9999997332614554
1741248295.5750985,1741248295.5636542,3,6.779668437182504e-07,-3.87603952066122e-06,2.206837634457141e-05,-0.00031163787182978504,-0.0007979724014507296,-0.00013230195545594785,0.9999996243089675
1741248295.5928411,1741248295.5816298,3,-4.967639704211947e-05,5.469120452567055e-05,-0.00033976487353735784,0.0007957604926210749,0.0002594896655027529,5.663669224601521e-06,0.9999996496990761
1741248295.6067927,1741248295.5970943,3,-6.340466289465577e-05,7.237698900417124e-05,-0.0004600984301734449,0.0007655389376572203,0.000416652005303208,1.3590245033954846e-05,0.9999996200832012
1741248295.6231725,1741248295.6136775,3,-4.886875302082195e-05,5.0313250191650686e-05,-0.0003388468949265865,0.0005980462988985227,-0.00040966516095752517,-5.145615275748546e-05,0.9999997359336374
1741248295.640816,1741248295.6306102,3,-2.9183725404920065e-06,6.010944492967453e-06,-4.091822551814853e-05,0.00030179917877847114,0.00019610432433097414,-1.6241617346763973e-06,0.9999999352288538
1741248295.6561837,1741248295.6472788,3,-1.7882941890748985e-05,2.5682651179559113e-05,-0.00016630927435164387,0.0003730577485759563,0.0004252781268567029,1.265666896292928e-05,0.999999839903107
1741248295.6749861,1741248295.663988,3,-5.045656071322996e-05,5.7132315864977526e-05,-0.0003769269127754914,0.0006795984100232257,0.00011450269691416163,2.14093367242467e-05,0.9999997622883586
1741248295.692928,1741248295.6808028,3,5.093124653040407e-06,-4.398657510187368e-06,3.820912980311878e-05,-0.0002076607389888145,-0.0006514732779391045,-4.3797213533364746e-07,0.9999997662296696
1741248295.707307,1741248295.6980126,3,-6.537381028157946e-06,7.455447423994515e-06,-3.969575902113625e-05,5.766428061076873e-05,-0.0003169393870144344,-2.0738906994777396e-05,0.9999999478970754
1741248295.7238407,1741248295.7138305,3,-7.40991594572294e-06,6.5388556780314755e-06,-4.5483730161964336e-05,0.00018447926539192004,-0.0001748931587114616,-1.0063307842635282e-05,0.9999999676392562
1741248295.744226,1741248295.7306821,3,-8.195411509822544e-06,1.3458572211568256e-05,-9.015524691947263e-05,0.000293710324105334,0.00012941586885823045,-4.6405228447536774e-05,0.9999999474161652
1741248295.756247,1741248295.7472131,3,1.2952835315803747e-05,-5.780837486203788e-06,3.6592421215984955e-05,-4.946397120983815e-05,0.0007247252185261826,9.373273928167807e-07,0.9999997361628624
1741248295.7740593,1741248295.7641551,3,-6.517014965040658e-05,8.559142412676497e-05,-0.0005483331491450367,0.0011561169166045026,0.0012947357008253994,0.0002030322380453463,0.9999984729143592
1741248295.7907867,1741248295.7807758,3,3.324308616301921e-05,-2.8000938931920003e-05,0.00019093567316588676,-0.0006437641604393408,0.0003006347657932601,7.745457845339581e-05,0.9999997445935831
1741248295.8063612,1741248295.7974653,3,3.2582939388562605e-05,-3.1153717095429496e-05,0.00019576968416444977,-0.00045100011877632635,0.0004875484105932513,3.337920443708701e-05,0.9999997788906101
1741248295.8238957,1741248295.8141005,3,-1.301624184306781e-05,1.584941322497073e-05,-0.00011809216820708228,0.0003931417223165999,-0.00017827612597129638,-0.00015626353159420178,0.9999998946194534
1741248295.8419044,1741248295.8309228,3,-6.108730411740104e-06,5.997853741740203e-06,-5.05573821335596e-05,-6.757689558003868e-05,0.00019330568249210982,-4.228216987050897e-05,0.999999978139247
1741248295.8571923,1741248295.8471084,3,3.6707726132507204e-05,-4.312630329222687e-05,0.00027308934672692393,-0.0002598852166923891,-0.0004555450339232841,-6.42424197577483e-05,0.999999860405644
1741248295.8731132,1741248295.863881,3,-1.0663018361885759e-05,2.2697713424580998e-05,-0.00014614679902117092,0.0002752745932846847,0.0006105970536403719,-3.102457192227836e-05,0.9999997752162809
1741248295.8909817,1741248295.881216,3,-6.132096668998971e-06,1.3731093288922243e-05,-9.103999664149669e-05,0.000427198050896961,0.00027511939938928536,-1.5753658855150833e-05,0.9999998707814735
1741248295.906489,1741248295.897294,3,-8.458482721574955e-06,1.668909060731567e-05,-0.00010494334768015562,-4.514588862032989e-05,0.00013637414179285305,4.6795967370968425e-06,0.9999999896710217
1741248295.9277751,1741248295.9145935,3,2.2828644076213284e-05,-2.3776638769007802e-05,0.00015976963687755127,-0.0002527066152468273,-0.00046157054315958205,3.32247259777629e-05,0.9999998609940494
1741248295.9401937,1741248295.9306147,3,2.7165082910474698e-05,-3.89887657576737e-05,0.00025869271674812026,-0.0005693795950467062,-0.0013340063379750431,-0.00016983613160461648,0.9999989336942592
1741248295.9570332,1741248295.947194,3,1.1012370427674305e-05,-1.7473498256789757e-05,0.00012013868041673781,-0.00040563121915723353,-0.000573761395943286,-4.459795136194455e-05,0.999999752136068
1741248295.9775195,1741248295.9642367,3,-2.679839390185471e-05,3.0249697391628124e-05,-0.0001923934970030802,0.0004430958362405963,-0.00013292524133316435,-4.073913856248713e-05,0.9999998921686355
1741248295.989895,1741248295.9808564,3,-1.52226571517011e-06,7.142656405711913e-06,-4.4227819399256016e-05,0.00048305509454507606,-0.00014434237591038745,-3.2199585220905123e-05,0.9999998723931123
1741248296.0100071,1741248295.9976237,3,5.228939817766329e-05,-5.6238752434970944e-05,0.00035084577374698,-0.0006075532513501504,9.913978777196197e-06,2.2688758340584444e-05,0.9999998151329729
1741248296.0268393,1741248296.0143652,3,-2.0263693566395392e-05,3.090522784673238e-05,-0.00021288184013113924,0.00014912308015977495,0.0009837356789042806,0.00011210726186398718,0.9999994987290658
1741248296.0402267,1741248296.030878,3,6.487646050106319e-05,-7.389973703054538e-05,0.0004785754821691647,-0.001336164520100997,-0.0007385055759536029,-1.9564474087663185e-05,0.9999988344448812
1741248296.0576487,1741248296.0479364,3,1.3331604119040732e-05,-1.628815325712862e-05,0.00011879507810264382,-0.00043300902154315657,-0.0011269920389340752,-9.872641914037677e-05,0.9999992663223437
1741248296.0741625,1741248296.0643675,3,-1.172134144224681e-06,9.303619700684703e-07,7.598523054035383e-06,-2.5796961427564644e-05,-0.00041792170764034235,-2.6446402716214483e-06,0.9999999123344807
1741248296.090224,1741248296.081065,3,3.947826300389043e-05,-4.265226321422261e-05,0.0002800601600101326,-0.0005765133860263002,-0.0004237370046776641,1.846049459819372e-05,0.9999997438692055
1741248296.1083443,1741248296.0976896,3,-1.89377231446682e-05,2.6292594875189603e-05,-0.0001703810593604752,0.0002829570233571304,0.0006350561201198335,-1.3808541162567668e-05,0.9999997582241564
1741248296.123505,1741248296.1142492,3,2.4814214363743736e-05,-1.6802268466867863e-05,0.00011536746755864527,-0.0005355646844049932,0.00032829115740403304,3.479127465329936e-05,0.9999998020924564
1741248296.145671,1741248296.130906,3,1.4419981210950776e-05,-5.935884792608656e-06,4.4657855368978673e-05,-1.6294144853484286e-05,0.0006402454871540359,-3.251194403048502e-05,0.999999794381574
1741248296.166096,1741248296.1476667,3,2.9783903607052677e-05,-2.6296813689353896e-05,0.0001818481937798271,-0.00048664389291647983,-0.00033232153771740696,-2.0677025129034747e-05,0.9999998261562738
