Synchronized Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740165893.0562105,1740165893.045508,1,3,-0.0007475613011878296,0.0011294668041113808,0.0012579572502827375,-0.0005533484022946473,-0.0004686229706658994,5.779056606475358e-05,0.9999997354291188
1740165893.071579,1740165893.0613184,1,3,-0.0007226775681690018,0.001088393111274585,0.0012085291861062709,-0.0005655956168770511,-0.00046739878978702565,5.310695495688428e-05,0.9999997294097739
1740165893.089215,1740165893.0779207,1,3,-0.0007073590820622886,0.0010644827133888608,0.001177967688976471,-0.0005671799264814175,-0.0004909299111783846,5.4442777861933914e-05,0.9999997171653285
1740165893.1053374,1740165893.0946224,1,3,-0.0007205935776743758,0.0010836199932772264,0.0012029337520324732,-0.0005892820918027193,-0.0005162325993963027,4.185550266711383e-05,0.999999692249271
1740165893.1221611,1740165893.1112454,1,3,-0.0007105182025375471,0.001070779103715454,0.0011821621556990791,-0.0006062473924423712,-0.0005180542647871231,6.468261064386736e-05,0.9999996799499676
1740165893.1388206,1740165893.1280127,1,3,-0.0007527965905986029,0.001136631301637024,0.0012684461439437318,-0.0005551142196008774,-0.0004841393340937638,7.885440475197804e-05,0.999999725619608
1740165893.1554363,1740165893.145286,1,3,-0.0007582745195438362,0.0011447663945643046,0.001279874854519056,-0.0005413971496010862,-0.0004752975256840206,6.834139536897493e-05,0.9999997381553868
1740165893.1740637,1740165893.1615217,1,3,-0.0007283242841836929,0.001095013226100546,0.0012177843133942302,-0.0006148621435345844,-0.0005320557885678924,3.779076258729447e-05,0.9999996687164654
1740165893.1911166,1740165893.1783054,1,3,-0.0006928837890596754,0.0010379560901385776,0.0011451468906969067,-0.0005839951171574367,-0.0005162841615061209,7.355070452939598e-05,0.9999996934952838
1740165893.2067099,1740165893.1949856,1,3,-0.0007243069307015268,0.0010898492205786525,0.0012094099697737132,-0.0005471722102450195,-0.0005349747198545884,8.586287103760935e-05,0.9999997035160504
1740165893.2225158,1740165893.211592,1,3,-0.0007354110715449473,0.0011104718221185753,0.001233642264557002,-0.0005893561051946417,-0.0005199529082240089,5.6638873219908744e-05,0.9999996895501482
1740165893.2389944,1740165893.2283094,1,3,-0.000725185356295219,0.001095390263435761,0.0012137403272631051,-0.000569367141088704,-0.0005237077842891192,0.00012450813287762967,0.9999996930244229
1740165893.2577367,1740165893.244865,1,3,-0.0007537928245313384,0.0011377547380353188,0.0012708766096240485,-0.0005848625413997304,-0.0004886221438554762,8.387386695727595e-05,0.9999997060746482
1740165893.2748985,1740165893.2618122,1,3,-0.0007188749236234339,0.0010815218832535814,0.0012015892894521119,-0.0005907306732119616,-0.0004795803037086216,6.391362844386457e-05,0.9999997084774837
1740165893.2886655,1740165893.278191,1,3,-0.00070515349089848,0.0010585602562557346,0.0011712979323054667,-0.0005820472811665122,-0.0004978923941198268,5.003496327494383e-05,0.999999705410271
1740165893.3090334,1740165893.2947023,1,3,-0.0007245199513148037,0.0010904521176016064,0.00120933284581625,-0.0005536183029524912,-0.0005345312406652089,9.856266877377996e-05,0.9999996990342185
1740165893.3228397,1740165893.311492,1,3,-0.0007540173661473348,0.0011398464639115274,0.0012718388715372282,-0.000584974161539596,-0.0004967379931394627,7.982973710565029e-05,0.9999997023418605
1740165893.3388362,1740165893.3282588,1,3,-0.0007590644486091306,0.0011473004074299378,0.0012824327183125833,-0.000591187991776391,-0.0004803948883134837,3.9707945710927325e-05,0.9999997090703521
1740165893.3582199,1740165893.3451753,1,3,-0.0006625509613798692,0.0009931954763910617,0.0010837518710785565,-0.0006613539969915585,-0.0006016499719756739,9.58189462521979e-05,0.999999595723384
1740165893.3725023,1740165893.3615346,1,3,-0.0006742932105533819,0.0010098126682136755,0.0011084372226236642,-0.0005836531376495898,-0.0005960754558907901,0.00015128194112717114,0.9999996405783554
1740165893.3898413,1740165893.3785505,1,3,-0.0007151228307983157,0.0010760231445540904,0.0011906902058979323,-0.0005725153849065642,-0.0005612566915442487,0.00013571764397184508,0.9999996693988361
1740165893.406402,1740165893.395194,1,3,-0.0007384359570970427,0.0011175169863921765,0.0012405326685404128,-0.0006041713911149366,-0.0004582627084105583,5.1599762926536005e-05,0.9999997111548007
1740165893.423092,1740165893.411832,1,3,-0.0007144146147825972,0.0010787385713717243,0.0011902536737274216,-0.0006210727573916377,-0.000533400122053569,8.196176636340771e-05,0.999999661517547
1740165893.442168,1740165893.4284396,1,3,-0.000704473782499253,0.0010593981463356257,0.0011698480473329208,-0.0006195356592503721,-0.0005561333321167018,7.912566285289521e-05,0.9999996503151456
1740165893.4560509,1740165893.4455237,1,3,-0.0007239457905979221,0.001089587703490837,0.0012122703448910282,-0.0006000684114375874,-0.0004428158605110553,3.09371592746114e-05,0.9999997214374149
1740165893.47494,1740165893.4617593,1,3,-0.0007033116718818027,0.0010563461506433746,0.0011689848061993769,-0.0005837100087598051,-0.0005232236109658791,8.291344283982867e-05,0.9999996893224715
1740165893.4916067,1740165893.4785242,1,3,-0.0006860386236361161,0.0010368067206721278,0.0011393933867773905,-0.0005834917061021739,-0.0005025805204972051,0.00010678972452855179,0.9999996977730563
1740165893.508018,1740165893.4951956,1,3,-0.0007024312185633441,0.00106437117780708,0.0011740144357101415,-0.0005919066969623886,-0.0005089654387763819,0.0001058082137089248,0.999999689702585
1740165893.5249798,1740165893.5118785,1,3,-0.0007041861442855375,0.0010754924613463925,0.0011901255870488759,-0.0006058633919729796,-0.0004678743208062032,0.00012769058478089612,0.999999698859097
1740165893.5415838,1740165893.5286746,1,3,-0.0005479882401732349,0.0008513309587777325,0.000900500901069366,-0.0007258879383760274,-0.0004554379874822493,0.00015340518630914014,0.9999996210648229
1740165893.5567436,1740165893.5454595,1,3,-0.00040154128996468496,0.0006674207640365766,0.0006611252742317449,-0.0007866353968540923,-0.0003441059371197754,0.00021145401178850095,0.9999996090414522
1740165893.5750144,1740165893.5618203,1,3,-0.0002634759713180586,0.0005248474511453113,0.000471955127950527,-0.0009176532390351409,-0.00016817797759756425,0.00020505002231330718,0.9999995437914904
1740165893.5918238,1740165893.5786026,1,3,9.489544105542153e-05,7.823910882112315e-05,-0.00011256984379335492,-0.0011875615193927568,0.0001857739976943194,0.00010602583216718179,0.9999992719718263
1740165893.6087713,1740165893.5951896,1,3,0.0004556202630175713,-0.0003413734633639432,-0.0006554546901859364,-0.0014435827897180033,0.0005982951418540434,5.018009763495096e-06,0.9999987790424907
1740165893.6272743,1740165893.6131766,1,3,0.0009667523032738323,-0.0009549026395129327,-0.0014543687836268203,-0.001790862452208537,0.0012065946285846633,-0.00012032789009793064,0.9999976612284043
1740165893.641102,1740165893.628454,1,3,0.0014943000852430568,-0.0015520618543514856,-0.0022332187474882192,-0.002173236179417612,0.002055997657048233,-0.00041570916840392855,0.9999954385416115
1740165893.6563802,1740165893.6455162,1,3,0.0020013123753260796,-0.002091181199930751,-0.0029407286171900904,-0.002478703635601106,0.002860285110569347,-0.0006758132206652766,0.9999926090096185
1740165893.6748476,1740165893.6618626,1,3,0.0025096875457022464,-0.0026085817653254853,-0.0036237836873632113,-0.002851208485199551,0.0037904855925767183,-0.0010108784677555294,0.9999882404077909
1740165893.691757,1740165893.6788695,1,3,0.003024241129024396,-0.0031379910996074717,-0.004309690832428807,-0.003162138040064567,0.004894510146469359,-0.0014512393019093716,0.9999819691164088
1740165893.7086856,1740165893.6952822,1,3,0.003538379214175431,-0.003667080473119094,-0.004998987758921725,-0.0034056159474966066,0.005860271027934143,-0.0017506220519537476,0.9999754968627624
1740165893.7251883,1740165893.7121327,1,3,0.00403017334347783,-0.004161434714832382,-0.005639398537137352,-0.0036886948611443288,0.006772577490579733,-0.00205229251380592,0.9999681564028893
1740165893.7402833,1740165893.7290154,1,3,0.004546224456404122,-0.004686909774796804,-0.006324689139122981,-0.0039446433406055146,0.007823880161614654,-0.0024043096208856327,0.9999587221397587
1740165893.7561648,1740165893.7455993,1,3,0.004959427507050304,-0.005039258844007546,-0.006784892067646299,-0.0040865267946178585,0.008821838205361867,-0.0028068261577550726,0.9999487972873189
1740165893.7750201,1740165893.7619686,1,3,0.005687351942334064,-0.005884260284884615,-0.007888248179681413,-0.0046131686568026105,0.009930266703279457,-0.0032281479359699116,0.9999348416467191
1740165893.7916386,1740165893.7786078,1,3,0.006362742952089666,-0.006639057662917103,-0.008871472002866108,-0.005030039190301461,0.010863017407044822,-0.0035398928005125293,0.9999220783228657
1740165893.8068097,1740165893.7960036,1,3,0.007032263432481664,-0.007378656657078575,-0.00983805182354041,-0.005490258429300584,0.011764725431991148,-0.0037324170021548774,0.9999087545177368
1740165893.8224776,1740165893.811909,1,3,0.0074370361800295305,-0.007712144519020313,-0.010271514029830706,-0.005624232622043476,0.013036062129332317,-0.004319509392296698,0.9998898794018185
1740165893.8403397,1740165893.82901,1,3,0.007795466157169276,-0.007982859698417138,-0.010627961059655414,-0.00568751803504834,0.01415704707108988,-0.004772512970662503,0.9998722184743273
1740165893.8568609,1740165893.8460608,1,3,0.008141506110463884,-0.008256919891516145,-0.010991906162363707,-0.005863960877845462,0.015129474248300129,-0.005150014860273479,0.999855084659138
1740165893.8739126,1740165893.8622081,1,3,0.00844656320231548,-0.008520085094488147,-0.011330109972251907,-0.005993194150484426,0.015928542531467832,-0.005496839644334766,0.9998400611650957
