Data_acquisition_time,Epoch_time_ms,Distance1_mm,,,
2024-09-14 06:45:56,305718,1726263956305,718,0,5137
2024-09-14 06:45:56,306718,1726263956306,718,0,4857
2024-09-14 06:45:56,307718,1726263956307,719,0,4577
2024-09-14 06:45:56,308719,1726263956308,719,0,4297
2024-09-14 06:45:56,309719,1726263956309,719,0,4016
2024-09-14 06:45:56,310719,1726263956310,719,0,3736
2024-09-14 06:45:56,311719,1726263956311,719,0,3456
2024-09-14 06:45:56,312720,1726263956312,720,0,3145
2024-09-14 06:45:56,313720,1726263956313,720,0,2833
2024-09-14 06:45:56,314720,1726263956314,720,0,2522
2024-09-14 06:45:56,315721,1726263956315,720,0,2273
2024-09-14 06:45:56,316721,1726263956316,721,0,2024
2024-09-14 06:45:56,317721,1726263956317,721,0,1744
2024-09-14 06:45:56,318721,1726263956318,721,0,1495
2024-09-14 06:45:56,319721,1726263956319,721,0,1214
2024-09-14 06:45:56,320722,1726263956320,722,0,934
2024-09-14 06:45:56,321722,1726263956321,722,0,654
2024-09-14 06:45:56,322722,1726263956322,722,0,374
2024-09-14 06:45:56,323722,1726263956323,722,0,31
2024-09-14 06:45:56,324723,1726263956324,723,0,249
2024-09-14 06:45:56,325723,1726263956325,723,0,529
2024-09-14 06:45:56,326723,1726263956326,723,0,810
2024-09-14 06:45:56,327723,1726263956327,723,0,1121
2024-09-14 06:45:56,328724,1726263956328,724,0,1401
2024-09-14 06:45:56,329724,1726263956329,724,0,1712
2024-09-14 06:45:56,330724,1726263956330,724,0,1993
2024-09-14 06:45:56,331724,1726263956331,724,0,2273
2024-09-14 06:45:56,332725,1726263956332,725,0,2584
2024-09-14 06:45:56,333725,1726263956333,725,0,2833
2024-09-14 06:45:56,334725,1726263956334,725,0,3114
2024-09-14 06:45:56,335725,1726263956335,725,0,3363
2024-09-14 06:45:56,336726,1726263956336,726,0,3643
2024-09-14 06:45:56,337726,1726263956337,726,0,3892
2024-09-14 06:45:56,338726,1726263956338,726,0,4172
2024-09-14 06:45:56,339726,1726263956339,726,0,4390
2024-09-14 06:45:56,340727,1726263956340,727,0,4670
2024-09-14 06:45:56,341727,1726263956341,727,0,4919
2024-09-14 06:45:56,342727,1726263956342,727,0,5200
2024-09-14 06:45:56,343727,1726263956343,727,0,5480
2024-09-14 06:45:56,344727,1726263956344,728,0,5729
2024-09-14 06:45:56,345728,1726263956345,728,0,6009
2024-09-14 06:45:56,346728,1726263956346,728,0,6258
2024-09-14 06:45:56,347728,1726263956347,728,0,6507
2024-09-14 06:45:56,348728,1726263956348,729,0,6756
2024-09-14 06:45:56,349729,1726263956349,729,0,6974
2024-09-14 06:45:56,350729,1726263956350,729,0,7255
2024-09-14 06:45:56,351729,1726263956351,729,0,7473
2024-09-14 06:45:56,352730,1726263956352,729,0,7722
2024-09-14 06:45:56,353730,1726263956353,730,0,7940
2024-09-14 06:45:56,354730,1726263956354,730,0,8189
2024-09-14 06:45:56,355730,1726263956355,730,0,8375
2024-09-14 06:45:56,356730,1726263956356,730,0,8593
2024-09-14 06:45:56,357731,1726263956357,731,0,8811
2024-09-14 06:45:56,358731,1726263956358,731,0,8998
2024-09-14 06:45:56,359731,1726263956359,731,0,9185
2024-09-14 06:45:56,360731,1726263956360,731,0,9403
2024-09-14 06:45:56,361732,1726263956361,732,0,9590
2024-09-14 06:45:56,362732,1726263956362,732,0,9777
2024-09-14 06:45:56,363732,1726263956363,732,0,9963
2024-09-14 06:45:56,364732,1726263956364,732,-1,119
2024-09-14 06:45:56,365733,1726263956365,733,-1,275
2024-09-14 06:45:56,366733,1726263956366,733,-1,430
2024-09-14 06:45:56,367733,1726263956367,733,-1,586
2024-09-14 06:45:56,368733,1726263956368,733,-1,711
2024-09-14 06:45:56,369734,1726263956369,734,-1,866
2024-09-14 06:45:56,370734,1726263956370,734,-1,991
2024-09-14 06:45:56,371734,1726263956371,734,-1,1115
2024-09-14 06:45:56,372734,1726263956372,734,-1,1209
2024-09-14 06:45:56,373735,1726263956373,735,-1,1333
2024-09-14 06:45:56,374735,1726263956374,735,-1,1427
2024-09-14 06:45:56,375735,1726263956375,735,-1,1551
2024-09-14 06:45:56,376735,1726263956376,735,-1,1645
2024-09-14 06:45:56,377736,1726263956377,736,-1,1707
2024-09-14 06:45:56,378736,1726263956378,736,-1,1800
2024-09-14 06:45:56,379736,1726263956379,736,-1,1894
2024-09-14 06:45:56,380736,1726263956380,736,-1,1956
2024-09-14 06:45:56,381736,1726263956381,737,-1,2049
2024-09-14 06:45:56,382737,1726263956382,737,-1,2112
2024-09-14 06:45:56,383737,1726263956383,737,-1,2143
2024-09-14 06:45:56,384737,1726263956384,737,-1,2205
2024-09-14 06:45:56,385738,1726263956385,738,-1,2267
2024-09-14 06:45:56,386738,1726263956386,738,-1,2299
2024-09-14 06:45:56,387738,1726263956387,738,-1,2330
2024-09-14 06:45:56,388738,1726263956388,738,-1,2361
2024-09-14 06:45:56,389739,1726263956389,739,-1,2392
2024-09-14 06:45:56,390739,1726263956390,739,-1,2392
2024-09-14 06:45:56,391739,1726263956391,739,-1,2392
2024-09-14 06:45:56,392739,1726263956392,739,-1,2392
2024-09-14 06:45:56,393739,1726263956393,740,-1,2392
2024-09-14 06:45:56,394740,1726263956394,740,-1,2392
2024-09-14 06:45:56,395740,1726263956395,740,-1,2392
2024-09-14 06:45:56,396740,1726263956396,740,-1,2361
2024-09-14 06:45:56,397741,1726263956397,740,-1,2361
2024-09-14 06:45:56,398741,1726263956398,741,-1,2330
2024-09-14 06:45:56,399741,1726263956399,741,-1,2267
2024-09-14 06:45:56,400741,1726263956400,741,-1,2236
2024-09-14 06:45:56,401741,1726263956401,741,-1,2174
2024-09-14 06:45:56,402742,1726263956402,742,-1,2143
2024-09-14 06:45:56,403742,1726263956403,742,-1,2049
2024-09-14 06:45:56,404742,1726263956404,742,-1,1987
2024-09-14 06:45:56,405742,1726263956405,742,-1,1925
2024-09-14 06:45:56,406743,1726263956406,743,-1,1863
2024-09-14 06:45:56,407743,1726263956407,743,-1,1769
2024-09-14 06:45:56,408743,1726263956408,743,-1,1707
2024-09-14 06:45:56,409743,1726263956409,743,-1,1582
2024-09-14 06:45:56,410744,1726263956410,744,-1,1520
2024-09-14 06:45:56,411744,1726263956411,744,-1,1427
2024-09-14 06:45:56,412744,1726263956412,744,-1,1302
2024-09-14 06:45:56,413744,1726263956413,744,-1,1209
2024-09-14 06:45:56,414745,1726263956414,745,-1,1084
2024-09-14 06:45:56,415745,1726263956415,745,-1,960
2024-09-14 06:45:56,416745,1726263956416,745,-1,835
2024-09-14 06:45:56,417745,1726263956417,745,-1,711
2024-09-14 06:45:56,418745,1726263956418,746,-1,555
2024-09-14 06:45:56,419746,1726263956419,746,-1,399
2024-09-14 06:45:56,420746,1726263956420,746,-1,244
2024-09-14 06:45:56,421746,1726263956421,746,-1,88
2024-09-14 06:45:56,422747,1726263956422,747,0,9901
2024-09-14 06:45:56,423747,1726263956423,747,0,9745
2024-09-14 06:45:56,424747,1726263956424,747,0,9559
2024-09-14 06:45:56,425747,1726263956425,747,0,9372
2024-09-14 06:45:56,426748,1726263956426,748,0,9154
2024-09-14 06:45:56,427748,1726263956427,748,0,8967
2024-09-14 06:45:56,428748,1726263956428,748,0,8780
2024-09-14 06:45:56,429748,1726263956429,748,0,8562
2024-09-14 06:45:56,430748,1726263956430,749,0,8375
2024-09-14 06:45:56,431749,1726263956431,749,0,8158
2024-09-14 06:45:56,432749,1726263956432,749,0,7940
2024-09-14 06:45:56,433749,1726263956433,749,0,7690
2024-09-14 06:45:56,434750,1726263956434,750,0,7473
2024-09-14 06:45:56,435750,1726263956435,750,0,7223
2024-09-14 06:45:56,436750,1726263956436,750,0,7005
2024-09-14 06:45:56,437750,1726263956437,750,0,6756
2024-09-14 06:45:56,438750,1726263956438,750,0,6507
2024-09-14 06:45:56,439751,1726263956439,751,0,6258
2024-09-14 06:45:56,440751,1726263956440,751,0,6009
2024-09-14 06:45:56,441751,1726263956441,751,0,5729
2024-09-14 06:45:56,442751,1726263956442,751,0,5480
2024-09-14 06:45:56,443752,1726263956443,752,0,5231
2024-09-14 06:45:56,444752,1726263956444,752,0,4951
2024-09-14 06:45:56,445752,1726263956445,752,0,4670
