Time (s),Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1741341473.3919306,2,0.00036055722922129246,-4.238604802788108e-06,0.00029519671713430307,0.00025593949778847044,-5.288305586258986e-05,-0.00017380881395361148,0.9999999507444248
1741341473.408328,2,0.000346920946216151,-5.035672657553693e-06,0.0002777482489374754,-0.00020552158699269554,-4.995922411347994e-05,-6.2402521583612e-05,0.999999975685439
1741341473.4253578,2,0.00048004715368823824,-1.931244721537474e-06,0.0004332481031657398,-0.0002695811070244797,-0.0001437846219590799,4.3802932879946724e-05,0.9999999523666551
1741341473.441915,2,0.00026804642698616775,-1.6623835678341112e-05,0.00019055148445094443,0.00032464523915341916,-2.7884260422691986e-05,-8.097825688155476e-05,0.9999999436352277
1741341473.4591033,2,0.00033156951144006866,-9.309325776707651e-06,0.00026487591555544274,0.0004542223661699784,-0.00010277968500994223,-0.00010265233537335758,0.9999998862904318
1741341473.47567,2,0.0003319050611513804,-7.192610069068554e-06,0.00026264444706266133,7.323008722818289e-05,-0.00012003598460579979,-5.232505366752288e-05,0.9999999887454026
1741341473.4916756,2,0.0002906234135571281,-8.051231783948356e-06,0.00021158627768155122,-0.00012696752166697502,-1.0154867502265809e-05,-3.4418796852216686e-05,0.9999999912957367
1741341473.508355,2,0.00028465128924301937,-1.0257091690997257e-05,0.0002034051846863857,-0.00011136315374507963,2.2928279917059413e-06,-4.6579251508135095e-05,0.9999999927116822
1741341473.525266,2,0.0002870351582988234,-1.3905249821875948e-05,0.00020892838498629384,-0.0001598389481081541,-1.4594522692051142e-05,5.003083817340543e-06,0.9999999871067399
1741341473.5418694,2,0.000362530587203909,-8.465167996414161e-06,0.0002992107915591415,0.0002997097744942405,-0.00010668206038796792,-8.911773126644728e-05,0.999999945425508
1741341473.5589023,2,0.00035553681834804877,-9.481629630806348e-06,0.00029249716205961444,7.202969023164598e-05,-8.283953371581537e-05,0.00010147154546288609,0.9999999888264304
1741341473.5752497,2,0.0003626680407083476,-5.770576138287781e-06,0.00029737080510363814,-2.443375345602722e-07,-2.9679903550485217e-05,-6.12883273451552e-05,0.9999999976813924
1741341473.591816,2,0.0003125955819207926,-8.55729323397763e-06,0.00023279475850614616,-4.3377296897059714e-05,-2.8067877489628635e-05,-3.352429949930103e-05,0.9999999981033629
1741341473.608602,2,0.00031163476759976763,-8.713746453825627e-06,0.00023169182897510293,-8.645567529132096e-05,-2.5705403796187756e-05,-5.2475497217707594e-05,0.9999999945554854
1741341473.6253,2,0.0003182345632266031,-9.881306340306589e-06,0.0002442810085227072,-9.79863197377904e-06,-3.2865047197711754e-05,-0.00011384807003536153,0.9999999929312462
1741341473.6421888,2,0.00023875787890043505,-1.5188405018259098e-05,0.00015813184372897882,-1.8334890481267924e-05,-1.7667819771049595e-05,-6.078427563616817e-05,0.9999999978284759
1741341473.6586857,2,0.0003073347070865238,-9.921076143048113e-06,0.00023638999401590232,7.23738722940282e-05,-8.354952061183631e-05,-7.907085631057008e-06,0.9999999938594891
1741341473.6752222,2,0.000270426480073788,-1.0753148682556928e-05,0.0001891217571869488,-5.668268784535303e-05,-8.398708604636796e-07,-9.27543550602683e-05,0.9999999940914986
1741341473.6920898,2,0.00030373211878355474,-8.651361874130212e-06,0.0002241181879825092,-2.967035665351247e-05,-1.3514334732231107e-06,-6.122515921182216e-06,0.9999999995401793
1741341473.7087257,2,0.00028685107606766976,-1.0315035865920231e-05,0.00020674731072890383,-3.8769206322801333e-05,7.925351728165949e-06,-2.4317690321083745e-05,0.9999999989213937
1741341473.7254157,2,0.0002422984966301369,-1.3877678839177747e-05,0.0001618005501625888,-0.0001306370929444805,3.016051982907693e-05,-1.505368084503161e-05,0.9999999908988397
1741341473.7420552,2,0.00031458930858414635,-1.1333551699289295e-05,0.00024301082675549086,0.00022060988149284354,-4.7825207232292785e-05,-5.2320739882123844e-05,0.9999999731532847
